                                                    13 Jun 2024 22:46:12
Satellite-NOVASAT-16U


       Time (UTCG)             x (km)          y (km)          z (km)   
------------------------    ------------    ------------    ------------
 1 Jan 2026 10:00:00.000     2445.193203    -6035.350103    -2480.022697
 1 Jan 2026 10:03:00.000     3388.139131    -5873.905159    -1603.959059
 1 Jan 2026 10:06:00.000     4209.364677    -5512.866128     -666.700321
 1 Jan 2026 10:09:00.000     4882.860959    -4962.357225      295.994724
 1 Jan 2026 10:12:00.000     5387.872539    -4239.075834     1247.396823
 1 Jan 2026 10:15:00.000     5709.517122    -3365.806508     2151.207576
 1 Jan 2026 10:18:00.000     5839.198038    -2370.717532     2972.944316
 1 Jan 2026 10:21:00.000     5774.799349    -1286.461104     3681.255704
 1 Jan 2026 10:24:00.000     5520.661024     -149.105494     4249.117869
 1 Jan 2026 10:27:00.000     5087.339143     1003.066062     4654.865430
 1 Jan 2026 10:30:00.000     4491.163240     2130.849673     4883.018090
 1 Jan 2026 10:33:00.000     3753.609502     3195.464308     4924.871248
 1 Jan 2026 10:36:00.000     2900.514318     4159.898068     4778.828100
 1 Jan 2026 10:39:00.000     1961.157487     4990.209952     4450.460560
 1 Jan 2026 10:42:00.000      967.248112     5656.740694     3952.296682
 1 Jan 2026 10:45:00.000      -48.151328     6135.188820     3303.342678
 1 Jan 2026 10:48:00.000    -1051.725971     6407.512203     2528.357787
 1 Jan 2026 10:51:00.000    -2010.997918     6462.621067     1656.909643
 1 Jan 2026 10:54:00.000    -2895.368478     6296.835321      722.246201
 1 Jan 2026 10:57:00.000    -3677.080258     5914.087174     -239.972765
 1 Jan 2026 11:00:00.000    -4332.069472     5325.858809    -1193.036163
 1 Jan 2026 11:03:00.000    -4840.683176     4550.854206    -2100.582213
 1 Jan 2026 11:06:00.000    -5188.241146     3614.413729    -2927.985735
 1 Jan 2026 11:09:00.000    -5365.427673     2547.689365    -3643.679190
 1 Jan 2026 11:12:00.000    -5368.504422     1386.607302    -4220.357060
 1 Jan 2026 11:15:00.000    -5199.341458      170.652431    -4636.017624
 1 Jan 2026 11:18:00.000    -4865.269462    -1058.483861    -4874.802379
 1 Jan 2026 11:21:00.000    -4378.761771    -2258.345896    -4927.601082
 1 Jan 2026 11:24:00.000    -3756.960032    -3387.195484    -4792.399328
 1 Jan 2026 11:27:00.000    -3021.061851    -4405.480932    -4474.355406
 1 Jan 2026 11:30:00.000    -2195.592651    -5277.240844    -3985.603498
 1 Jan 2026 11:33:00.000    -1307.586984    -5971.392178    -3344.790724
 1 Jan 2026 11:36:00.000     -385.706685    -6462.855662    -2576.365715
 1 Jan 2026 11:39:00.000      540.675525    -6733.477138    -1709.645830
 1 Jan 2026 11:42:00.000     1442.398078    -6772.710379     -777.698626
 1 Jan 2026 11:45:00.000     2291.409917    -6578.035221      183.919750
 1 Jan 2026 11:48:00.000     3061.620295    -6155.094156     1138.521124
 1 Jan 2026 11:51:00.000     3729.674326    -5517.540569     2049.685036
 1 Jan 2026 11:54:00.000     4275.632460    -4686.602098     2882.648277
 1 Jan 2026 11:57:00.000     4683.535500    -3690.372909     3605.631188
 1 Jan 2026 12:00:00.000     4941.840569    -2562.858509     4191.050143
 1 Jan 2026 12:03:00.000     5043.717668    -1342.805820     4616.569925
 1 Jan 2026 12:06:00.000     4987.200699      -72.359124     4865.955877
 1 Jan 2026 12:09:00.000     4775.191260     1204.410942     4929.693293
 1 Jan 2026 12:12:00.000     4415.317727     2443.053389     4805.350430
 1 Jan 2026 12:15:00.000     3919.656268     3600.302909     4497.671281
 1 Jan 2026 12:18:00.000     3304.324145     4635.610008     4018.394586
 1 Jan 2026 12:21:00.000     2588.959090     5512.580345     3385.805963
