                                                         18 Apr 2022 10:22:52
FOR UNFUNDED EDUCATIONAL USE ONLY
Planet-Earth


       Time (UTCG)              x (km)            y (km)            z (km)   
------------------------    --------------    --------------    -------------
19 Sep 2024 09:00:00.000    -345700.845282     -92579.982188     -6108.245591
20 Sep 2024 07:13:20.000    -315039.922738    -173772.322574    -16227.184331
21 Sep 2024 05:26:40.000    -267234.546500    -245408.507305    -25449.468262
22 Sep 2024 03:40:00.000    -205286.984811    -303930.757923    -33305.623635
23 Sep 2024 01:53:20.000    -132852.374185    -346785.061458    -39437.954527
24 Sep 2024 00:06:40.000     -53889.325144    -372466.420721    -43610.788579
24 Sep 2024 22:20:00.000      27631.603869    -380452.614805    -45706.340653
25 Sep 2024 20:33:20.000     107939.680505    -371077.675266    -45712.198275
26 Sep 2024 18:46:40.000     183601.539859    -345387.050750    -43705.665639
27 Sep 2024 17:00:00.000     251602.924453    -304999.708887    -39838.296256
28 Sep 2024 15:13:20.000     309394.676597    -251987.422533    -34322.106498
29 Sep 2024 13:26:40.000     354918.792852    -188771.685145    -27417.692328
30 Sep 2024 11:40:00.000     386624.464497    -118033.959872    -19423.812916
 1 Oct 2024 09:53:20.000     403478.776585     -42633.837971    -10667.807445
 2 Oct 2024 08:06:40.000     404973.028367      34469.345792     -1496.299920
 3 Oct 2024 06:20:00.000     391123.634631     110294.015974      7734.126928
 4 Oct 2024 04:33:20.000     362466.067610     181913.643990     16666.362104
 5 Oct 2024 02:46:40.000     320040.880727     246533.172974     24952.194910
 6 Oct 2024 01:00:00.000     265371.936379     301563.564705     32261.578791
 6 Oct 2024 23:13:20.000     200437.888914     344694.092348     38291.648145
 7 Oct 2024 21:26:40.000     127638.145296     373963.396591     42775.597022
 8 Oct 2024 19:40:00.000      49753.491079     387831.955566     45491.765583
 9 Oct 2024 17:53:20.000     -30100.884884     385259.763371     46273.471369
10 Oct 2024 16:06:40.000    -108536.028495     365792.761923     45020.148175
11 Oct 2024 14:20:00.000    -181974.162489     329658.831652     41710.081740
12 Oct 2024 12:33:20.000    -246772.609639     277867.765523     36414.277891
13 Oct 2024 10:46:40.000    -299402.155016     212298.981848     29309.689132
14 Oct 2024 09:00:00.000    -336688.808573     135747.024394     20688.221400
15 Oct 2024 07:13:20.000    -356110.033224      51883.309335     10956.268202
16 Oct 2024 05:26:40.000    -356107.307528     -34907.042604       619.180788
17 Oct 2024 03:40:00.000    -336346.102887    -119831.500366     -9752.471887
18 Oct 2024 01:53:20.000    -297842.041766    -198111.327179    -19572.415990
19 Oct 2024 00:06:40.000    -242896.748523    -265438.073004    -28294.867286
19 Oct 2024 22:20:00.000    -174845.967887    -318361.075879    -35464.584779
20 Oct 2024 20:33:20.000     -97685.564652    -354523.831838    -40749.963434
21 Oct 2024 18:46:40.000     -15671.734602    -372723.905967    -43954.976291
22 Oct 2024 17:00:00.000      67021.949208    -372827.858974    -45012.893510
23 Oct 2024 15:13:20.000     146548.569773    -355601.925018    -43968.708348
24 Oct 2024 13:26:40.000     219531.188767    -322517.373930    -40957.400731
