                                                                                                18 Apr 2022 10:58:24
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Jerrico


       Time (UTCG)             x (km)          y (km)         z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)
------------------------    ------------    -----------    ------------    -----------    -----------    -----------
19 Sep 2024 10:00:00.000     1755.880707     818.780620        0.000000      -0.046897       0.100571       1.586913
19 Sep 2024 10:31:40.000      -38.759674     131.137445     1931.740710      -1.442274      -0.671240       0.016161
19 Sep 2024 11:03:20.000    -1755.586801    -815.598590       37.971929       0.018526      -0.114014      -1.587500
19 Sep 2024 11:35:00.000        6.282215    -146.328940    -1931.113718       1.442606       0.668995      -0.046364
19 Sep 2024 12:06:40.000     1756.968899     813.010408      -76.481686       0.010287       0.127243       1.585594
19 Sep 2024 12:38:20.000       31.085834     163.689739     1929.541708      -1.442415      -0.666124       0.079215
19 Sep 2024 13:10:00.000    -1755.195421    -809.072300      114.950547      -0.038936      -0.140726      -1.585032
19 Sep 2024 13:41:40.000      -63.412027    -178.665827    -1927.247727       1.441886       0.663449      -0.109353
19 Sep 2024 14:13:20.000     1755.293519     805.902120     -152.968619       0.067546       0.153740       1.581791
19 Sep 2024 14:45:00.000      100.960681     195.996142     1924.275824      -1.440294      -0.659916       0.142203
19 Sep 2024 15:16:40.000    -1752.041401    -801.212521      191.842863      -0.096424      -0.167231      -1.580025
19 Sep 2024 15:48:20.000     -133.136558    -210.750337    -1920.326998       1.438898       0.656808      -0.172276
19 Sep 2024 16:20:00.000     1750.851105     797.462717     -229.310893       0.124779       0.180002       1.575498
19 Sep 2024 16:51:40.000      170.751747     227.988818     1915.949819      -1.435906      -0.652620       0.205016
19 Sep 2024 17:23:20.000    -1746.116723    -792.024458      268.520170      -0.153841      -0.193471      -1.572481
19 Sep 2024 17:55:00.000     -202.764149    -242.509591    -1910.345799       1.433639       0.649079      -0.235017
19 Sep 2024 18:26:40.000     1743.644311     787.704388     -305.360659       0.181885       0.205973       1.566716
19 Sep 2024 18:58:20.000      240.343217     259.602069     1904.576088      -1.429250      -0.644243       0.267545
19 Sep 2024 19:30:00.000    -1737.419402    -781.518467      344.852206      -0.211089      -0.219391      -1.562406
19 Sep 2024 20:01:40.000     -272.169902    -273.874684    -1897.307386       1.426112       0.640274      -0.297463
19 Sep 2024 20:33:20.000     1733.681061     776.643670     -380.974940       0.238763       0.231599       1.555453
19 Sep 2024 21:05:00.000      309.617741     290.771831     1890.172303      -1.420329      -0.634798       0.329677
19 Sep 2024 21:36:40.000    -1725.953841    -769.710138      420.707746      -0.268066      -0.244937      -1.549811
19 Sep 2024 22:08:20.000     -341.232519    -304.780177    -1881.223276       1.416323       0.630407      -0.359502
19 Sep 2024 22:40:00.000     1720.973772     764.300969     -456.016373       0.295312       0.256829       1.541724
19 Sep 2024 23:11:40.000      378.456761     321.435218     1872.761276      -1.409154      -0.624303       0.391302
19 Sep 2024 23:43:20.000    -1711.730943    -756.620558      495.953800      -0.324673      -0.270056      -1.534714
20 Sep 2024 00:15:00.000     -409.833234    -335.163158    -1862.112986       1.404280       0.619497      -0.421026
20 Sep 2024 00:46:40.000     1705.539052     750.700600     -530.352484       0.351437       0.281614       1.525550
20 Sep 2024 01:18:20.000      446.741094     351.530908     1852.371167      -1.395740      -0.612779       0.452309
20 Sep 2024 01:50:00.000    -1694.767962    -742.276371      570.455528      -0.380808      -0.294698      -1.517135
20 Sep 2024 02:21:40.000     -477.853751    -364.962627    -1840.003898       1.389998       0.607563      -0.481925
