                                                                                                                                          1 Jul 2024 14:58:59
Satellite-NOVASAT-16U-Sensor-WideAngleSensor-To-Satellite-Inmarsat3F2_24307, Satellite-Inmarsat4F3_33278, Satellite-Inmarsat4F4_39215:  Access Summary Report


WideAngleSensor-To-Inmarsat3F2_24307
------------------------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    1 Jan 2026 10:32:51.019    1 Jan 2026 10:39:51.266           420.248
                       2    1 Jan 2026 11:21:21.636    1 Jan 2026 11:28:41.897           440.261
                       3    1 Jan 2026 12:13:28.311    1 Jan 2026 12:21:27.110           478.800
                       4    1 Jan 2026 13:02:09.928    1 Jan 2026 13:11:07.005           537.077
                       5    1 Jan 2026 13:55:41.836    1 Jan 2026 14:06:03.950           622.114
                       6    1 Jan 2026 14:45:26.945    1 Jan 2026 14:57:16.870           709.925
                       7    1 Jan 2026 15:41:58.546    1 Jan 2026 15:54:38.511           759.965
                       8    1 Jan 2026 16:33:30.150    1 Jan 2026 16:45:27.077           716.926
                       9    1 Jan 2026 17:30:02.704    1 Jan 2026 17:40:27.063           624.359
                      10    1 Jan 2026 18:20:27.695    1 Jan 2026 18:29:30.005           542.310
                      11    1 Jan 2026 19:14:09.824    1 Jan 2026 19:22:10.830           481.006
                      12    1 Jan 2026 20:03:20.853    1 Jan 2026 20:10:43.037           442.184
                      13    1 Jan 2026 20:55:34.641    1 Jan 2026 21:02:35.672           421.030
                      14    1 Jan 2026 21:44:14.585    1 Jan 2026 21:51:09.392           414.807
                      15    1 Jan 2026 22:36:03.496    1 Jan 2026 22:43:07.047           423.551
                      16    1 Jan 2026 23:24:35.152    1 Jan 2026 23:32:02.362           447.210
                      17    2 Jan 2026 00:16:47.945    2 Jan 2026 00:24:58.231           490.285
                      18    2 Jan 2026 01:05:35.024    2 Jan 2026 01:14:48.564           553.540
                      19    2 Jan 2026 01:59:23.910    2 Jan 2026 02:10:06.616           642.706
                      20    2 Jan 2026 02:49:25.150    2 Jan 2026 03:01:30.113           724.963
                      21    2 Jan 2026 03:46:14.157    2 Jan 2026 03:58:47.429           753.272
                      22    2 Jan 2026 04:37:48.319    2 Jan 2026 04:49:21.767           693.447
                      23    2 Jan 2026 05:33:57.630    2 Jan 2026 05:43:57.945           600.315
                      24    2 Jan 2026 06:24:11.586    2 Jan 2026 06:32:55.540           523.954
                      25    2 Jan 2026 07:17:37.777    2 Jan 2026 07:25:26.795           469.018
                      26    2 Jan 2026 08:06:43.912    2 Jan 2026 08:13:59.005           435.093
                      27    2 Jan 2026 08:58:52.130    2 Jan 2026 09:05:50.296           418.166
                      28    2 Jan 2026 09:47:30.486    2 Jan 2026 09:54:26.125           415.639
                      29    2 Jan 2026 10:39:20.311    2 Jan 2026 10:46:28.480           428.168
                      30    2 Jan 2026 11:27:52.587    2 Jan 2026 11:35:28.491           455.904
                      31    2 Jan 2026 12:20:13.339    2 Jan 2026 12:28:37.267           503.929
                      32    2 Jan 2026 13:09:05.309    2 Jan 2026 13:18:37.206           571.897
                      33    2 Jan 2026 14:03:13.692    2 Jan 2026 14:14:16.913           663.221
                      34    2 Jan 2026 14:53:28.775    2 Jan 2026 15:05:43.937           735.162
                      35    2 Jan 2026 15:50:29.441    2 Jan 2026 16:02:49.913           740.473
                      36    2 Jan 2026 16:41:57.675    2 Jan 2026 16:53:06.996           669.321
                      37    2 Jan 2026 17:37:43.601    2 Jan 2026 17:47:22.548           578.947
                      38    2 Jan 2026 18:27:45.891    2 Jan 2026 18:36:14.563           508.672
                      39    2 Jan 2026 19:20:59.191    2 Jan 2026 19:28:38.615           459.425
                      40    2 Jan 2026 20:10:00.768    2 Jan 2026 20:17:10.569           429.801
                      41    2 Jan 2026 21:02:05.018    2 Jan 2026 21:09:01.487           416.468
                      42    2 Jan 2026 21:50:42.437    2 Jan 2026 21:57:39.626           417.189
                      43    2 Jan 2026 22:42:33.782    2 Jan 2026 22:49:46.916           433.135
                      44    2 Jan 2026 23:31:07.929    2 Jan 2026 23:38:52.651           464.722
                      45    3 Jan 2026 00:23:36.852    3 Jan 2026 00:32:14.396           517.544
                      46    3 Jan 2026 01:12:36.283    3 Jan 2026 01:22:26.223           589.940
                      47    3 Jan 2026 02:07:04.399    3 Jan 2026 02:18:26.217           681.818
                      48    3 Jan 2026 02:57:36.855    3 Jan 2026 03:09:57.488           740.633
                      49    3 Jan 2026 03:54:44.139    3 Jan 2026 04:06:47.751           723.612
                      50    3 Jan 2026 04:46:07.352    3 Jan 2026 04:56:51.727           644.375
                      51    3 Jan 2026 05:41:29.482    3 Jan 2026 05:50:47.422           557.940
                      52    3 Jan 2026 06:31:22.534    3 Jan 2026 06:39:36.188           493.655
                      53    3 Jan 2026 07:24:23.178    3 Jan 2026 07:31:53.278           450.100
                      54    3 Jan 2026 08:13:21.101    3 Jan 2026 08:20:25.975           424.873
                      55    3 Jan 2026 09:05:21.628    3 Jan 2026 09:12:17.100           415.472
                      56    3 Jan 2026 09:53:58.177    3 Jan 2026 10:00:57.980           419.802
