                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           5 Jul 2024 09:16:22
Satellite-NOVASAT-16U


      Time (UTCG)          Beta Angle (deg)       x (km)          y (km)          z (km)       vx (km/sec)    vy (km/sec)    vz (km/sec)    Semi-major Axis (km)    Eccentricity    Inclination (deg)    RAAN (deg)    Arg of Perigee (deg)    True Anomaly (deg)    Detic Latitude (deg)    Detic Longitude (deg)         x (km)              y (km)              z (km)            x (km)        y (km)       z (km)         x (km)           y (km)           z (km)           x (km)           y (km)          z (km)           x (km)           y (km)          z (km)   
-----------------------    ----------------    ------------    ------------    ------------    -----------    -----------    -----------    --------------------    ------------    -----------------    ----------    --------------------    ------------------    --------------------    ---------------------    ---------------    -----------------    ----------------    ------------    --------    ---------    -------------    -------------    -------------    -------------    -------------    ------------    -------------    -------------    ------------
1 Jan 2026 10:00:00.000              21.174     6034.583659    -2463.714863    -2463.502058       3.781643       4.631748       4.631348             6968.137000        0.000000             44.99753         0.000                   0.000               330.000                 -20.704                  -22.209    27125230.670501    -132649604.254632    -57499573.004881    -6968.136958    0.175816    -0.000004    -42325.529982    -18891.363571      5545.725720    -42250.484276     23829.643214     5578.292964     14784.689073    -34164.824630      459.314726
1 Jan 2026 10:01:00.000              21.173     6248.666047    -2180.784029    -2180.203407       3.347062       4.795960       4.795754             6968.137000        0.000000             44.99752       359.996                   0.000               333.736                 -18.233                  -19.239    27126801.526564    -132649578.359102    -57499722.446617    -6968.136954    0.175814    -0.000004    -42448.527861    -19332.239796      5234.833168    -42558.153665     23387.797202     5290.702486     14730.851482    -34356.510535      180.743572
1 Jan 2026 10:02:00.000              21.173     6436.219813    -1888.607208    -1887.636242       2.898270       4.939838       4.939771             6968.137000        0.000000             44.99751       359.993                   0.000               337.473                 -15.718                  -16.353    27128398.907137    -132649561.689763    -57499881.148299    -6968.136950    0.175812    -0.000004    -42544.306908    -19781.951829      4914.613853    -42838.599339     22936.299225     4993.783953     14703.141338    -34556.743752     -107.057860
1 Jan 2026 10:03:00.000              21.172     6596.448699    -1588.423139    -1587.044344       2.437174       5.062772       5.062788             6968.137000        0.000000             44.99750       359.989                   0.000               341.209                 -13.165                  -13.539    27130023.608478    -132649553.007877    -57500047.866147    -6968.136946    0.175809    -0.000004    -42612.072616    -20239.257924      4586.312085    -43091.023258     22476.391071     4688.781228     14702.351841    -34764.287299     -402.845878
1 Jan 2026 10:04:00.000              21.172     6728.672454    -1281.504512    -1279.705608       1.965731       5.164242       5.164282             6968.137000        0.000000             44.99749       359.986                   0.000               344.946                 -10.582                  -10.783    27131676.310837    -132649551.040752    -57500221.322264    -6968.136942    0.175806    -0.000004    -42651.146497    -20702.882397      4251.206287    -43314.743407     22009.348484     4376.972293     14729.160194    -34977.870261     -705.342680
1 Jan 2026 10:05:00.000              21.171     6832.329726     -969.152567     -966.926612       1.485942       5.243817       5.243821             6968.137000        0.000000             44.99748       359.982                   0.000               348.682                  -7.976                   -8.073    27133357.575568    -132649554.487150    -57500400.210073    -6968.136939    0.175802    -0.000005    -42660.968971    -21171.521017      3910.603568    -43509.196675     21536.475772     4059.663810     14784.124711    -35196.193184    -1013.241780
1 Jan 2026 10:06:00.000              21.170     6906.980438     -652.691584     -650.037063       0.999845       5.301160       5.301067             6968.137000        0.000000             44.99747       359.978                   0.000               352.419                  -5.353                   -5.398    27135067.842740    -132649562.022791    -57500583.199868    -6968.136936    0.175798    -0.000005    -42641.101753    -21643.846527      3565.834162    -43673.941247     21059.100282     3738.185572     14867.682435    -35417.933589    -1325.213566
1 Jan 2026 10:07:00.000              21.170     6952.307662     -333.463260     -330.384140       0.509504       5.336027       5.335777             6968.137000        0.000000             44.99746       359.975                   0.000               356.155                  -2.718                   -2.746    27136807.429287    -132649572.305976    -57500768.944468    -6968.136933    0.175794    -0.000005    -42591.229714    -22118.514255      3218.245781    -43808.658467     20578.566793     3413.884845     14980.147271    -35641.751590    -1639.910952
1 Jan 2026 10:08:00.000              21.169     6968.118963      -12.821029       -9.326770       0.016999       5.348271       5.347804             6968.137000        0.000000             44.99745       359.971                   0.000               359.892                  -0.077                   -0.105    27138576.527645    -132649583.983273    -57500956.084947    -6968.136932    0.175790    -0.000005    -42511.162235    -22594.167805      2869.197886    -43913.154185     20096.231824     3088.120647     15121.708637    -35866.295581    -1955.975105
1 Jan 2026 10:09:00.000              21.169     6954.347215      307.875681      311.770147      -0.475579       5.337841       5.337095             6968.137000        0.000000             44.99744       359.968                   0.000                 3.628                   2.564                    2.535    27140375.204934    -132649595.695255    -57501143.256407    -6968.136930    0.175785    -0.000005    -42400.834017    -23069.444792      2520.055909    -43987.359574     19613.457897     2762.257965     15292.430651    -36090.207973    -2272.041223
1 Jan 2026 10:10:00.000              21.168     6911.050887      627.267212      631.541548      -0.966137       5.304779       5.303697             6968.137000        0.000000             44.99743       359.964                   0.000                 7.364                   5.200                    5.186    27142203.402689    -132649606.082261    -57501329.093782    -6968.136929    0.175781    -0.000005    -42260.305369    -23542.982610      2172.185449    -44031.331417     19131.607771     2437.661956     15492.251844    -36312.130961    -2586.744338
1 Jan 2026 10:11:00.000              21.168     6838.413795      943.999438      948.628002      -1.452593       5.249226       5.247752             6968.137000        0.000000             44.99743       359.961                   0.000                11.101                   7.824                    7.860    27144060.937094    -132649613.790167    -57501512.237641    -6968.136929    0.175776    -0.000005    -42089.761960    -24013.424194      1826.946471    -44045.251856     18652.038682     2115.692141     15720.985410    -36530.712283    -2898.725115
1 Jan 2026 10:12:00.000              21.167     6736.744318     1256.729507     1261.681494      -1.932882       5.171418       5.169497             6968.137000        0.000000             44.99742       359.957                   0.000                14.837                  10.432                   10.567    27145947.499772    -132649617.476120    -57501691.339972    -6968.136930    0.175771    -0.000005    -41889.514037    -24479.423760      1485.687529    -44029.427610     18176.096597     1797.696629     15978.319983    -36744.610967    -3206.635638
1 Jan 2026 10:13:00.000              21.167     6606.474096     1564.131533     1569.371154      -2.404965       5.071685       5.069265             6968.137000        0.000000             44.99741       359.953                   0.000                18.574                  13.016                   13.320    27147862.659076    -132649615.814236    -57501865.069902    -6968.136931    0.175767    -0.000005    -41659.995117    -24939.652502      1149.740029    -43984.288673     17705.110524     1485.006384     16263.820949    -36952.503019    -3509.145136
1 Jan 2026 10:14:00.000              21.166     6448.156190     1864.902222     1870.388917      -2.866838       4.950450       4.947483             6968.137000        0.000000             44.99740       359.950                   0.000                22.310                  15.570                   16.131    27149805.861946    -132649607.501219    -57502032.119368    -6968.136933    0.175763    -0.000005    -41401.760154    -25392.804208       820.412575    -43910.386473     17240.386888     1178.929568     16576.932281    -37153.087049    -3804.945641
1 Jan 2026 10:15:00.000              21.165     6262.462739     2157.766392     2163.455081      -3.316540       4.808225       4.804668             6968.137000        0.000000             44.99739       359.946                   0.000                26.047                  18.088                   19.012    27151776.436243    -132649591.261889    -57502191.208666    -6968.136935    0.175759    -0.000005    -41115.483191    -25837.600793       498.985410    -43808.391530     16783.204010      880.745978     16916.978879    -37345.089792    -4092.757553
