                                                                  13 Jun 2024 22:46:58
Satellite-NOVASAT-16U


       Time (UTCG)                x (km)               y (km)              z (km)     
------------------------    -----------------    -----------------    ----------------
 1 Jan 2026 10:00:00.000     116224116.134827      69515135.496297    -57434723.356718
 1 Jan 2026 10:03:00.000     117122919.806029      67988245.513528    -57435184.130938
 1 Jan 2026 10:06:00.000     118001791.561946      66449511.229406    -57435706.023295
 1 Jan 2026 10:09:00.000     118860606.728142      64899206.158247    -57436253.274996
 1 Jan 2026 10:12:00.000     119699238.835973      63337612.337073    -57436789.156789
 1 Jan 2026 10:15:00.000     120517559.028120      61765019.794158    -57437277.370275
 1 Jan 2026 10:18:00.000     121315435.670711      60181725.799871    -57437683.432786
 1 Jan 2026 10:21:00.000     122092734.182260      58588033.920724    -57437975.992986
 1 Jan 2026 10:24:00.000     122849317.081882      56984252.905206    -57438128.027003
 1 Jan 2026 10:27:00.000     123585044.251916      55370695.435945    -57438117.869457
 1 Jan 2026 10:30:00.000     124299773.402762      53747676.788461    -57437930.040053
 1 Jan 2026 10:33:00.000     124993360.721267      52115513.440343    -57437555.834190
 1 Jan 2026 10:36:00.000     125665661.678141      50474521.677433    -57436993.655063
 1 Jan 2026 10:39:00.000     126316531.965059      48825016.244285    -57436249.074590
 1 Jan 2026 10:42:00.000     126945828.528500      47167309.085192    -57435334.620822
 1 Jan 2026 10:45:00.000     127553410.664733      45501708.219846    -57434269.299975
 1 Jan 2026 10:48:00.000     128139141.139259      43828516.793165    -57433077.871287
 1 Jan 2026 10:51:00.000     128702887.293951      42148032.333516    -57431789.902393
 1 Jan 2026 10:54:00.000     129244522.106479      40460546.246295    -57430438.641248
 1 Jan 2026 10:57:00.000     129763925.168904      38766343.562078    -57429059.747629
 1 Jan 2026 11:00:00.000     130260983.555876      37065702.949448    -57427689.932625
 1 Jan 2026 11:03:00.000     130735592.557078      35358896.993522    -57426365.558020
 1 Jan 2026 11:06:00.000     131187656.253696      33646192.731454    -57425121.248994
 1 Jan 2026 11:09:00.000     131617087.924123      31927852.427160    -57423988.573086
