                                                              22 Jul 2024 19:53:21
Satellite-NOVASAT-16U


      Time (UTCG)               x (km)              y (km)             z (km)     
-----------------------    ----------------    ---------------    ----------------
1 Jan 2026 10:00:00.000    116226318.920969    69502558.909764    -57434832.218376
1 Jan 2026 10:01:00.000    116528762.003110    68994858.748578    -57434980.182101
1 Jan 2026 10:02:00.000    116828987.198358    68485870.760441    -57435137.030836
1 Jan 2026 10:03:00.000    117126987.718954    67975604.966818    -57435301.507035
1 Jan 2026 10:04:00.000    117422756.830359    67464071.313870    -57435472.319818
1 Jan 2026 10:05:00.000    117716287.855063    66951279.670988    -57435648.150465
1 Jan 2026 10:06:00.000    118007574.176331    66437239.829688    -57435827.658035
1 Jan 2026 10:07:00.000    118296609.241933    65921961.502892    -57436009.485134
1 Jan 2026 10:08:00.000    118583386.567810    65405454.324630    -57436192.263831
1 Jan 2026 10:09:00.000    118867899.741657    64887727.850244    -57436374.621683
1 Jan 2026 10:10:00.000    119150142.426344    64368791.557103    -57436555.187800
1 Jan 2026 10:11:00.000    119430108.363169    63848654.845780    -57436732.598856
1 Jan 2026 10:12:00.000    119707791.374941    63327327.041634    -57436905.505030
1 Jan 2026 10:13:00.000    119983185.368930    62804817.396745    -57437072.575865
1 Jan 2026 10:14:00.000    120256284.339654    62281135.092294    -57437232.506061
1 Jan 2026 10:15:00.000    120527082.371532    61756289.241319    -57437384.021164
1 Jan 2026 10:16:00.000    120795573.641290    61230288.891946    -57437525.883098
1 Jan 2026 10:17:00.000    121061752.420173    60703143.030917    -57437656.895479
1 Jan 2026 10:18:00.000    121325613.075878    60174860.587488    -57437775.908708
1 Jan 2026 10:19:00.000    121587150.074372    59645450.437507    -57437881.824876
1 Jan 2026 10:20:00.000    121846357.981491    59114921.407881    -57437973.602473
1 Jan 2026 10:21:00.000    122103231.464395    58583282.281286    -57438050.260855
1 Jan 2026 10:22:00.000    122357765.292733    58050541.801285    -57438110.884409
1 Jan 2026 10:23:00.000    122609954.339590    57516708.677598    -57438154.626375
1 Jan 2026 10:24:00.000    122859793.582191    56981791.591592    -57438180.712357
1 Jan 2026 10:25:00.000    123107278.102425    56445799.201847    -57438188.443504
1 Jan 2026 10:26:00.000    123352403.087142    55908740.149987    -57438177.199390
1 Jan 2026 10:27:00.000    123595163.828277    55370623.066560    -57438146.440544
1 Jan 2026 10:28:00.000    123835555.722776    54831456.577050    -57438095.710635
1 Jan 2026 10:29:00.000    124073574.272321    54291249.307960    -57438024.638314
1 Jan 2026 10:30:00.000    124309215.082848    53750009.892979    -57437932.938719
1 Jan 2026 10:31:00.000    124542473.863922    53207746.979166    -57437820.414615
1 Jan 2026 10:32:00.000    124773346.427948    52664469.233140    -57437686.957178
1 Jan 2026 10:33:00.000    125001828.689203    52120185.347338    -57437532.546405
1 Jan 2026 10:34:00.000    125227916.662708    51574904.046208    -57437357.251168
1 Jan 2026 10:35:00.000    125451606.462907    51028634.092416    -57437161.228902
1 Jan 2026 10:36:00.000    125672894.302167    50481384.292951    -57436944.724929
1 Jan 2026 10:37:00.000    125891776.489101    49933163.505149    -57436708.071404
1 Jan 2026 10:38:00.000    126108249.426756    49383980.642571    -57436451.685911
1 Jan 2026 10:39:00.000    126322309.610650    48833844.680747    -57436176.069703
1 Jan 2026 10:40:00.000    126533953.626680    48282764.662769    -57435881.805616
1 Jan 2026 10:41:00.000    126743178.148921    47730749.704693    -57435569.555641
1 Jan 2026 10:42:00.000    126949979.937301    47177809.000766    -57435240.058178
1 Jan 2026 10:43:00.000    127154355.835147    46623951.828480    -57434894.124954
1 Jan 2026 10:44:00.000    127356302.766603    46069187.553370    -57434532.637605
1 Jan 2026 10:45:00.000    127555817.733914    45513525.633535    -57434156.543967
1 Jan 2026 10:46:00.000    127752897.814613    44956975.623863    -57433766.854065
1 Jan 2026 10:47:00.000    127947540.158622    44399547.179959    -57433364.635867
1 Jan 2026 10:48:00.000    128139741.985293    43841250.061758    -57432951.010780
1 Jan 2026 10:49:00.000    128329500.580338    43282094.136837    -57432527.148913
1 Jan 2026 10:50:00.000    128516813.292675    42722089.383353    -57432094.264092
1 Jan 2026 10:51:00.000    128701677.531205    42161245.892599    -57431653.608678
1 Jan 2026 10:52:00.000    128884090.761549    41599573.871156    -57431206.468202
1 Jan 2026 10:53:00.000    129064050.502775    41037083.642636    -57430754.155842
1 Jan 2026 10:54:00.000    129241554.324098    40473785.649010    -57430298.006762
1 Jan 2026 10:55:00.000    129416599.841550    39909690.451532    -57429839.372345
1 Jan 2026 10:56:00.000    129589184.714672    39344808.731175    -57429379.614348
1 Jan 2026 10:57:00.000    129759306.643226    38779151.288645    -57428920.099044
1 Jan 2026 10:58:00.000    129926963.363954    38212729.043945    -57428462.191341
1 Jan 2026 10:59:00.000    130092152.647359    37645553.035567    -57428007.248913
1 Jan 2026 11:00:00.000    130254872.294560    37077634.419195    -57427556.616381
1 Jan 2026 11:01:00.000    130415120.134195    36508984.466021    -57427111.619562
1 Jan 2026 11:02:00.000    130572894.019426    35939614.560652    -57426673.559814
1 Jan 2026 11:03:00.000    130728191.824991    35369536.198663    -57426243.708482
1 Jan 2026 11:04:00.000    130881011.444356    34798760.983688    -57425823.301447
1 Jan 2026 11:05:00.000    131031350.786950    34227300.624127    -57425413.533854
1 Jan 2026 11:06:00.000    131179207.775556    33655166.929404    -57425015.555060
1 Jan 2026 11:07:00.000    131324580.343858    33082371.805938    -57424630.463828
1 Jan 2026 11:08:00.000    131467466.434130    32508927.252802    -57424259.303762
1 Jan 2026 11:09:00.000    131607863.995055    31934845.357124    -57423903.058962
1 Jan 2026 11:10:00.000    131745770.979683    31360138.289156    -57423562.649927
1 Jan 2026 11:11:00.000    131881185.343530    30784818.297125    -57423238.929752
1 Jan 2026 11:12:00.000    132014105.042862    30208897.701798    -57422932.680642
1 Jan 2026 11:13:00.000    132144528.033127    29632388.890904    -57422644.610726
1 Jan 2026 11:14:00.000    132272452.267523    29055304.313359    -57422375.351178
1 Jan 2026 11:15:00.000    132397875.695693    28477656.473349    -57422125.453617
