                                                                 18 Apr 2022 10:22:22
FOR UNFUNDED EDUCATIONAL USE ONLY
Planet-Sun


       Time (UTCG)                x (km)               y (km)              z (km)    
------------------------    -----------------    -----------------    ---------------
19 Sep 2024 09:00:00.000    -150403203.343429       7739568.076591      688210.894646
20 Sep 2024 07:13:20.000    -150438313.317041       5332627.246396      598524.100297
21 Sep 2024 05:26:40.000    -150420348.880173       2928101.868028      511713.501390
22 Sep 2024 03:40:00.000    -150351987.501323        528183.435172      428876.786192
23 Sep 2024 01:53:20.000    -150236453.797095      -1864906.342618      350647.729348
24 Sep 2024 00:06:40.000    -150077250.578848      -4249015.865449      277214.450693
24 Sep 2024 22:20:00.000    -149877936.088228      -6622212.612705      208402.165670
25 Sep 2024 20:33:20.000    -149641957.280014      -8982935.214721      143781.008679
26 Sep 2024 18:46:40.000    -149372531.150942     -11330126.818884       82773.897401
27 Sep 2024 17:00:00.000    -149072559.409552     -13663331.417892       24748.202925
28 Sep 2024 15:13:20.000    -148744563.113825     -15982744.621358      -30914.807439
29 Sep 2024 13:26:40.000    -148390629.182662     -18289212.316440      -84774.279804
30 Sep 2024 11:40:00.000    -148012366.434505     -20584173.921485     -137306.780894
 1 Oct 2024 09:53:20.000    -147610873.236862     -22869550.693765     -188903.900129
 2 Oct 2024 08:06:40.000    -147186721.040077     -25147585.392340     -239887.430737
 3 Oct 2024 06:20:00.000    -146739957.697589     -27420647.226072     -290537.723371
 4 Oct 2024 04:33:20.000    -146270132.211242     -29691021.523100     -341129.903798
 5 Oct 2024 02:46:40.000    -145776338.856181     -31960707.552273     -391971.574852
 6 Oct 2024 01:00:00.000    -145257274.946602     -34231246.986934     -443435.540888
 6 Oct 2024 23:13:20.000    -144711303.769806     -36503600.744241     -495981.626832
 7 Oct 2024 21:26:40.000    -144136513.404594     -38778083.950738     -550162.909067
 8 Oct 2024 19:40:00.000    -143530763.497532     -41054360.304579     -606612.951925
 9 Oct 2024 17:53:20.000    -142891715.847737     -43331489.030804     -666012.126347
10 Oct 2024 16:06:40.000    -142216849.987294     -45608013.535198     -729031.561302
11 Oct 2024 14:20:00.000    -141503473.022984     -47882075.538173     -796256.290092
12 Oct 2024 12:33:20.000    -140748739.805784     -50151542.562927     -868088.639272
13 Oct 2024 10:46:40.000    -139949709.205173     -52414129.660155     -944642.070812
14 Oct 2024 09:00:00.000    -139103464.596865     -54667499.971324    -1025641.072545
15 Oct 2024 07:13:20.000    -138207322.318974     -56909323.136524    -1110356.010347
16 Oct 2024 05:26:40.000    -137259128.574481     -59137278.071045    -1197607.367510
17 Oct 2024 03:40:00.000    -136257604.482062     -61349005.614357    -1285864.755703
